Papel,Cotação,EV/EBIT,ROIC,Liq.2meses,Div.Yield
IVTT3,0.0,0.0,0.0,0.0,0.0
MNSA4,0.47,0.0,-13.5,0.0,0.0
MNSA3,0.42,0.0,-13.5,0.0,0.0
PORP4,2.4,0.0,0.0,0.0,0.0
POPR4,10.17,0.0,15.25,0.0,0.0
CFLU4,1000.0,0.0,17.68,0.0,0.0
CSTB4,147.69,0.0,22.4,0.0,0.0
CSTB3,150.0,0.0,22.4,0.0,0.0
CLAN3,0.0,0.0,0.0,0.0,0.0
PMET3,0.0,0.0,0.0,0.0,0.0
BBTG12,3.15,0.0,0.0,0.0,0.0
QUAL3,3.83,5.17,13.95,19751800.0,0.0207
GNDI3,66.95,91.13,3.09,0.0,0.0239
MEGA3,10.71,25.16,3.66,7884550.0,0.0
GUAR4,151.0,287.55,2.42,0.0,0.0
PLDN4,486.0,-33.12,-1.27,0.0,0.0
TELB3,16.75,-1.25,-11.09,50638.1,0.0
LCSA4,35.09,-506.56,-28.74,0.0,0.0
TELB4,13.55,-0.35,-11.09,91859.1,0.0
BHGR3,19.1,25.95,3.93,0.0,0.0
DMMO3,1.76,5.9,70.39,0.0,0.0
RJCP3,0.01,-523.96,0.0,0.0,0.0
ABYA3,4.91,33.67,2.78,0.0,0.0
LWSA3,6.8,45.41,2.03,52214000.0,0.0077
PITI4,1.28,-2637.65,0.0,0.0,0.0
MAPT3,30.05,-200.12,-17.97,0.0,0.0
MYPK4,31.79,13.09,6.73,0.0,0.0
LCSA3,12.5,-180.95,-28.74,0.0,0.0
MAGG3,59.4,6.41,14.05,0.0,0.0
CBAV3,4.09,85.25,0.53,32501600.0,0.10769999999999999
BAUH4,71.89,46.12,7.6,25791.6,0.0168
LINX3,37.4,51.49,6.82,0.0,0.0152
BNCA3,70.3,0.0,0.0,0.0,0.0
DOHL3,9.88,-43.27,-2.1,66.4,0.0
MNPR3,16.85,1.82,21.57,130920.0,0.0
MYPK3,14.32,9.01,6.73,21519300.0,0.0349
MERC3,15.28,0.0,0.0,17487.1,0.0
CLSA3,4.56,-9.52,-11.51,3027080.0,0.0
AMIL3,32.2,138.61,2.22,0.0,0.0
RDNI3,5.56,39.58,1.07,78525.9,0.0259
MRVE3,12.19,199.32,0.33,147696000.0,0.013999999999999999
BRTP3,35.71,7.55,13.41,0.0,0.0
IDVL11,140.0,0.0,0.0,0.0,0.0
MAPT4,11.0,-73.25,-17.97,59.73,0.0
CBEE3,13.7,6.99,7.11,383.84,0.0
SCLO3,14.1,-96.19,-782.71,0.0,0.0
PEFX5,19.0,6.59,11.77,0.0,0.0
PEFX3,19.0,6.59,11.77,0.0,0.0
MTIG4,23.0,-95.57,-47.8,0.0,0.0
NINJ3,3.8,2.15,-160.11,500504.0,0.0
TOYB4,2.5,-9.15,-59.36,0.0,0.0
IMBI3,5.01,-104.72,-0.54,0.0,0.0
CLAN4,3.0,-97.43,-0.5,0.0,0.0
HAPV3,4.59,-98.89,-0.59,355613000.0,0.0
TOYB3,2.29,-8.39,-59.36,0.0,0.0
DOHL4,5.42,-24.35,-2.1,19790.3,0.0
EBTP3,10.21,8.46,6.03,0.0,0.0
EBTP4,10.0,8.33,6.03,0.0,0.0
GLOB4,30.49,29.75,7.85,0.0,0.0
FBRA4,34.58,10.62,11.94,0.0,0.0
BRTP4,20.81,5.03,13.41,0.0,0.0
GUAR3,6.7,18.84,2.42,13967700.0,0.003
PRGA4,75.0,1091.86,0.39,0.0,0.0
MERC4,7.33,0.0,0.0,48062.2,0.061399999999999996
ITEC3,40.1,-24.8,-63.06,0.0,0.0
IMBI4,3.5,-75.44,-0.54,0.0,0.0
PRTX3,2.77,-128.99,-1.5,0.0,0.0
OMGE3,27.57,24.34,4.69,0.0,0.0
DFVA3,9.9,-58.28,-10.35,0.0,0.0
ASTA4,25.83,33.2,2.52,0.0,0.0
LJQQ3,5.27,28.99,1.74,21023400.0,0.0
